jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
ThPIP	372.1859	307.2895	274.4509	444.6298	417.4122	490.6482
IndPIP	92.7079	91.3338	61.3208	136.9349	146.2064	155.0601
MidPIP	30.1632	24.7930	20.0162	25.0064	25.8684	37.7595
RinPIP	53.6816	38.5267	48.8942	45.5547	24.8227	38.0700
LitPIP	70.6349	46.4155	54.4113	80.6375	68.3863	85.1173
ThDIP	145.3254	119.9857	107.1633	173.6121	162.9846	191.5807
IndDIP	40.7232	40.1196	26.9360	60.1505	64.2232	68.1123
MidDIP	11.9227	9.8000	7.9119	9.8844	10.2251	14.9254
RinDIP	19.6936	14.1339	17.9373	16.7122	9.1065	13.9663
LitDIP	26.7074	17.5499	20.5732	30.4894	25.8572	32.1832
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	570.5084	470.5435	421.2922	681.0614	639.6483	751.9938
IndMCP_f	215.5333	212.2797	142.8155	318.3842	340.1531	360.4810
MidMCP_f	69.7813	57.3406	46.3833	57.9427	59.9033	87.4334
RinMMCP_fCP	106.6975	76.1986	97.0912	90.4088	49.2823	75.7817
LitMCP_f	131.2432	86.2677	101.3332	149.5379	126.8780	158.1009
ThPIP	372.4845	307.2175	275.0614	444.6645	417.6259	490.9762
IndPIP	92.6972	91.2979	61.4226	136.9317	146.2941	155.0368
MidPIP	30.1658	24.7878	20.0511	25.0481	25.8956	37.7966
RinPIP	53.8220	38.4373	48.9762	45.6054	24.8598	38.2270
LitPIP	70.7256	46.4888	54.6074	80.5844	68.3733	85.1989
ThDIP	145.4420	119.9575	107.4017	173.6257	163.0681	191.7088
IndDIP	40.7185	40.1039	26.9807	60.1491	64.2617	68.1020
MidDIP	11.9238	9.7980	7.9257	9.9009	10.2359	14.9401
RinDIP	19.7452	14.1011	17.9674	16.7308	9.1201	14.0239
LitDIP	26.7417	17.5776	20.6473	30.4694	25.8523	32.2141
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
